sku,ean,descrizione,marchio,categoria1,categoria2,categoria3,prezzo_vendita,prezzo_pubblico,link_icecat,thumb_url,scheda_tecnica_presente
390467,8054341711080,WGFT103SMCE0 FRIGO TAVOLO 95LT CE.E ILL.LED RETRO CREMA,SMARTWAY,GED REFRIGERAZIONE,FRIGO TAVOLO,FRIGO TAVOLO,197.26,299.0,,,NO
390468,8054341711073,WGFT103SMKE0 FRIGO TAVOLO 95LT CE.E ILL.LED RETRO NERO,SMARTWAY,GED REFRIGERAZIONE,FRIGO TAVOLO,FRIGO TAVOLO,197.26,299.0,,,NO
390469,8054341711066,WGFT103SMRE0 FRIGO TAVOLO 95LT CE.E ILL.LED RETRO ROSSO,SMARTWAY,GED REFRIGERAZIONE,FRIGO TAVOLO,FRIGO TAVOLO,197.26,299.0,,,NO
390599,4242005461974,SMV4EMX71S LAVAST.SC/TOT.60CM 14COP CE.B 3CEST. WIFI,BOSCH,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,574.2,749.0,,,NO
390602,0753759314743,"0100278401 SMART WATCH 1.4"" 45MM VENU 3 BLACK/SLATE",GARMIN,TELEFONIA,TELEFONIA MOBILE,SMARTWATCH,350.86,350.86,,,NO
390691,4002516867678,WEA135WCS LAV.C/FRONT 8KG 1400GIRI CE.A-10% INVERT.CAPDOSING,MIELE,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 8 A 8,99 KG",773.03,899.0,,,NO
390692,4002516868040,WEB365WCS LAV.C/FRONT 8KG 1400GIRI CE.A-20% INVERT.WIFI VAP.,MIELE,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 8 A 8,99 KG",855.45,999.0,,,NO
390693,4002516868217,WED395WCS LAV.C/FRONT 9KG 1400GIRI CE.A-20% INVERT.WIFI VAP.,MIELE,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 9 A 9,99 KG",932.95,1199.0,,,NO
390695,4002516867982,WEG885WCS LAV.C/FRONT 9KG 1400GIRI A-20% INV.WIF.VAP.TWINDOS,MIELE,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 9 A 9,99 KG",1156.68,1499.0,,,NO
390707,4002516829751,12557060 SACCHETTI ASPIRAP. 4PZ+1FILTRO HYCLEAN PURE TU,MIELE,PED LINEA PULIZIA,ACCESSORI E RICAMBI,SACCHETTI,13.09,19.9,,,NO
390708,4002516830085,12557080 SACCHETTI ASPIRAP. 4PZ+1FILTRO HYCLEAN PURE CO,MIELE,PED LINEA PULIZIA,ACCESSORI E RICAMBI,SACCHETTI,13.09,19.9,,,NO
390862,4002516874980,TEA535WP ASCIUG.C/FRONT 8KG CE.C INVERTER ILL.LED,MIELE,GED LAVAGGIO,ASCIUGATRICI,"DA 8 A 8,99 KG",759.63,899.0,,,NO
390863,4002516874966,TEC645WP ASCIUG.C/FRONT 8KG CE.C INVERTER WIFI ILL.LED,MIELE,GED LAVAGGIO,ASCIUGATRICI,"DA 8 A 8,99 KG",839.02,999.0,,,NO
390864,4002516875093,TED655WP ASCIUG.C/FRONT 9KG CE.C INVERTER WIFI ILL.LED,MIELE,GED LAVAGGIO,ASCIUGATRICI,"DA 9 A 9,99 KG",894.61,1199.0,,,NO
390899,7333394068060,TO64IM0BIB P.COTT.INDUZ.60CM 4ZONE TOUCH VETROCER.NERO,AEG,GED INCASSO,PIANI COTTURA,INDUZIONE,391.52,499.0,,,NO
390970,8690842688553,BDIN37530 LAVAST.SC/TOT.60CM 15COP CE.D 3CEST. 6PROG.SLIDING,BEKO,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,351.32,469.0,,,NO
390971,8690842685286,DIN34330 LAVAST.SC/TOT.60CM 13COP CE.D DISP.DIG.TOUCH INOX,BEKO,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,293.77,369.0,,,NO
391503,3838782957970,HV663A65 LAVAST.SC/TOT.60CM 16COP CE.A 3CEST. INV. AUTO DRY,HISENSE,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,449.29,599.0,,,NO
391582,8806096187531,GTFN256SET COMBI INC. 233LT H.177CM CE.E NOFROST METAL FRESH,LG,GED INCASSO,FRIGORIFERI,COMBINATI,685.83,999.0,,,NO
391594,4002516556138,BLIZZARDCX1PARQUETFLEXPOWER ASPIR. S/SACCO 890W 2LT HEPA SPAZZ.PARQUET,MIELE,PED LINEA PULIZIA,ASPIRAPOLVERE,CARRELLO SENZA SACCO,294.56,399.0,,,NO
391612,8690842753657,WIT8A4BW LAV.INC. 8KG 1400GIRI CE.A 15PROG.D.TOUCH INV.VAP,BEKO,GED INCASSO,LAVATRICI,LAVATRICI,418.67,599.0,,,NO
391754,4002516905752,G5611ICLST LAVAST.C/FRONT.INOX 60CM 13COP. CE.A 5PROG.,MIELE,GED INCASSO,LAVASTOVIGLIE,SCOMP. PARZIALE 60cm.,743.11,1049.0,,,NO
391761,4002516905806,G5633SCUBRWS LAVAST.60CM 14COP CE.A SOTTOPIANO BIANCO BRILLANTE,MIELE,GED LAVAGGIO,LAVASTOVIGLIE,SOTTOPIANO/APPOGGIO,661.92,899.0,,,NO
391762,4002516905813,G5633SCUCLST LAVAST.60CM 14COP CE.A SOTTOPIANO INOX,MIELE,GED LAVAGGIO,LAVASTOVIGLIE,SOTTOPIANO/APPOGGIO,734.94,999.0,,,NO
391764,4002516905707,G5653VI LAVAST.SC/TOT.60CM 13COP CE.A 5PROG. INOX,MIELE,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,707.93,999.0,,,NO
391765,4002516905943,G5663SCVI LAVAST.SC/TOT.60CM 14COP CE.A 3CESTO,MIELE,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,774.47,1099.0,,,NO
391766,4002516905950,G5811SCUOBSW LAVAST.60CM 14COP CE.A SOTTOPIANO 3CESTO NERO,MIELE,GED LAVAGGIO,LAVASTOVIGLIE,SOTTOPIANO/APPOGGIO,844.45,1149.0,,,NO
391767,4002516906018,G5853SCVI LAVAST.SC/TOT.60CM 14COP CE.A 3CEST.MULTIF.3D INOX,MIELE,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,867.46,1349.0,,,NO
391769,4002516906049,G7040SCCLST LAVAST.14COP CE.A 11PROG.3CEST.AUTODOS WIFI INOX,MIELE,GED LAVAGGIO,LAVASTOVIGLIE,60x60,872.05,1299.0,,,NO
391770,4002516906056,G7040SCUAUTODOS LAVAST.60CM 14COP CE.A SOTTOPIANO 3CEST. WIFI INOX,MIELE,GED LAVAGGIO,LAVASTOVIGLIE,SOTTOPIANO/APPOGGIO,872.05,1299.0,,,NO
392056,8003437056307,W0ID751AX LAVAST.SC/TOT.60CM 14COP CE.B 3CEST. 10PROG.,WHIRLPOOL,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,423.68,599.0,,,NO
392873,8690842787591,BMTEP73EB ASCIUG.C/F.SLIM 7KG CE.D INVERT DISPLAY DIGIT. NX,BEKO,GED LAVAGGIO,ASCIUGATRICI,"DA 7 A 7,99 KG",388.74,499.0,,,NO
393150,4242005523764,WQB246D0II ASCIUG.C/FRONT 9KG CE.B INV WIFI CONDENS.AUTOPUL.,BOSCH,GED LAVAGGIO,ASCIUGATRICI,"DA 9 A 9,99 KG",999.37,1299.0,,,NO
393400,6921081516188,HD90A367U1IT ASCIUG.C/FRONT 9KG CE.A INVERTER WIFI,HAIER,GED LAVAGGIO,ASCIUGATRICI,"DA 9 A 9,99 KG",691.12,899.0,,,NO
393426,8690842797743,BMWEP10147DB LAV.C/FRONT 10KG 1400G. CE.A-10% INV.VAP.OBLO NERO,BEKO,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 10 A 10,99 KG",332.67,429.0,,,NO
393427,8690842799402,BMWEP8147DB LAV.C/FRONT 8KG 1400GIRI CE.A-10% INV.VAP.OBLO NER,BEKO,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 8 A 8,99 KG",302.0,379.0,,,NO
393482,4002516860280,TQ1000WPNOVAEDITION ASCIUG.C/FRONT 9KG CE.B INVERTER WIFI VAP,MIELE,GED LAVAGGIO,ASCIUGATRICI,"DA 9 A 9,99 KG",1977.47,2699.0,,,NO
393921,753759341336,"0100302500 SMART WATCH 1.3"" 47MM FENIX E STAINLESS STEEL",GARMIN,TELEFONIA,TELEFONIA MOBILE,SMARTWATCH,445.27,459.9,,,NO
393922,753759341343,"0100302501 SMART WATCH 1.3"" 47MM FENIX E SLATE GRAY STEE",GARMIN,TELEFONIA,TELEFONIA MOBILE,SMARTWATCH,445.27,459.9,,,NO
394157,4242005529308,SMV4HVX14E LAVAST.SC/TOT.60CM 14C CE.C 3CEST. WIFI V. POLINOX,BOSCH,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,485.68,649.0,,,NO
394238,7612986497793,1150735610 MISCELATORE CANNA GIREVOLE POLA J HP CHROME,FRANKE,GED INCASSO,RUBINETTERIA,RUBINETTERIA,55.15,89.0,,,NO
394462,7333394133058,FSE77717P LAVAST.SC/TOT.60CM 14COP CE.A-10% 3CEST. INVERTER,AEG,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,677.62,899.0,,,NO
394495,4002516638377,12144710 SET DETERSIVO 2ULTRACOLOR E 2WOOLCARE,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,58.63,75.6,,,NO
394818,8059019092850,HAVG6BF4TBPB P.COTT.GAS 60CM 4F G.GHISA IN CRISTALLO NERO,HAIER,GED INCASSO,PIANI COTTURA,A GAS,255.84,349.0,,,NO
394820,8059019083001,H6ID23B3HTX FORNO 60CM 78LT MULTI11 CL.A++IDROLIT.WIF.NER/INOX,HAIER,GED INCASSO,FORNI,ELETTR. MULTIFUNZ.,339.02,449.0,,,NO
394821,8059019081915,SXI6B0S3FSBV LAVAST.SC/TOT.60CM 16COP CE.B 3CESTO INVERTER WIFI,HAIER,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,453.2,569.0,,,NO
396723,6921081515976,HW80BP14357GTUIT LAV.C/F.SLIM 47CM 8KG 1400G CE.A-10% VAP WIFI GREY,HAIER,GED LAVAGGIO,LAVATRICI SLIM,8KG E OLTRE,389.25,499.0,,,NO
397030,8059019079011,XI4A4M4PB LAVAST.SC/TOT.60CM 14COP CE.A 3CEST. INVERT WIFI,HAIER,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,523.58,699.0,,,NO
397294,753759339463,"0100293300 SMART WATCH 0.9"" 45MM BT/WIFI/GPS INSTINCT E BLACK",GARMIN,TELEFONIA,TELEFONIA MOBILE,SMARTWATCH,193.37,199.9,,,NO
397378,8050246542323,PLG64I1B26NVS P.COTT.INDUZ.60CM 4ZONE/1BRIDGE FORO48CM NERO,BERTAZZONI LA GERMANIA,GED INCASSO,PIANI COTTURA,INDUZIONE,184.65,249.0,,,NO
397379,4002516934868,12900920 DETERSIVO LIQUIDO ULTRACOLOR 1.5LT,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,13.87,17.9,,,NO
397474,6921081512722,HW150BP14986ESIT LAV.C/FRONT 15KG 1400GIR CE.A INVERT ABT ANTRACITE,HAIER,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,12 KG E OLTRE,798.59,999.0,,,NO
397476,6921081515471,HW80B14367U1IT LAV.C/FRONT 8KG 1400G CE.A-45% INV. VAPORE WIFI,HAIER,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 8 A 8,99 KG",408.44,499.0,,,NO
397493,8690842787737,BDIS16030 LAVAST.SC/TOT.SLIM 45CM 10COP CE.D 6PROG.,BEKO,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 45cm.,330.02,449.0,,,NO
397532,4002516974611,12964400 SET 6PZ DETERSIVO ULTRAPHASE 1 E 2 FLORALBOOST,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,85.68,93.9,,,NO
397533,4002516974529,12964530 SET 6PZ DETERSIVO ULTRAPHASE 1 E 2 REFRESH ELIXIR,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,85.68,93.9,,,NO
397575,4242005531356,WAN24009IT LAV.C/FRONT 9KG 1200GIRI CE.A,BOSCH,GED LAVAGGIO,LAVATRICI CARICA FRONTALE,"DA 9 A 9,99 KG",480.02,599.0,,,NO
398140,8690842768354,BDIN38561P LAVAST.SC/TOT.60CM 15COP CE.A 3CEST.FLEX.8PROG.INV,BEKO,GED INCASSO,LAVASTOVIGLIE,SCOMP. TOTALE 60cm,471.99,599.0,,,NO
398180,4002516980568,12982850 PRODOTTO X PULIZI.LAVATR/LAVAST.200GR INTENSEC,MIELE,GED LAVAGGIO,ACCESSORI,ACCESSORI LAVATR./ASCIUG.,10.78,10.78,,,NO
398265,7612986498622,1150735623 MISCELATORE CANNA GIREVOLE POLA J HP AVENA,FRANKE,GED INCASSO,RUBINETTERIA,RUBINETTERIA,59.87,89.0,,,NO
398507,0753759364724,"0100256215 SMART WATCH 1.4"" 42MM BT FORERUNNER 55 WHITE",GARMIN,TELEFONIA,TELEFONIA MOBILE,SMARTWATCH,179.84,199.9,,,NO
